,service_level,max_guest,no_bedroom,no_bed,no_bathroom,rating,no_review,price,type,area,amenities
223,SUPERHOST,4.0,2.0,2.0,2.5,5.0,9,286.0,Entire villa,Gianyar,"Pool,Wifi,Air conditioning,Kitchen"
224,SUPERHOST,2.0,1.0,1.0,1.0,4.95,58,32.0,Hotel room,Ubud,"Pool,Wifi,Air conditioning,none"
225,SUPERHOST,2.0,1.0,1.0,1.0,4.95,38,12.0,Private room,Ubud,"Wifi,Air conditioning,none,none"
226,REGULAR,10.0,4.0,4.0,4.0,4.89,55,531.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
227,SUPERHOST,4.0,2.0,2.0,2.5,5.0,3,640.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
228,REGULAR,2.0,1.0,1.0,1.0,4.86,0,32.0,Room in boutique hotel,Ubud,"Pool,Wifi,Air conditioning,none"
229,REGULAR,3.0,1.0,1.0,1.5,4.86,50,78.0,Entire villa,Ubud,"Pool,Wifi,Kitchen,none"
230,REGULAR,2.0,1.0,1.0,1.0,4.45,56,25.0,Entire residential home,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
231,REGULAR,3.0,1.0,1.0,1.0,4.86,0,34.0,Entire loft,Ubud,"Wifi,Air conditioning,Kitchen,none"
232,SUPERHOST,2.0,1.0,1.0,1.0,4.55,228,23.0,Hotel room,Ubud,"Pool,Wifi,Air conditioning,none"
233,SUPERHOST,4.0,2.0,3.0,3.0,4.86,0,126.0,Entire villa,Gianyar,"Pool,Wifi,Air conditioning,Kitchen"
234,REGULAR,2.0,1.0,1.0,1.0,4.86,0,39.0,Resort room,Ubud,"Pool,Wifi,Air conditioning,none"
235,SUPERHOST,6.0,3.0,3.0,3.5,4.86,0,86.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
236,REGULAR,2.0,1.0,1.0,1.0,4.86,0,60.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
